cell_id,red(#),green(#)
1,0,1
2,0,2
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,2
9,0,2
10,0,0
11,0,0
12,0,0
13,1,0
14,0,1
15,0,0
16,0,2
17,0,0
18,0,1
19,0,1
20,0,0
21,0,2
22,0,0
23,0,1
24,0,2
25,0,2
26,0,0
27,0,0
28,0,2
29,0,0
30,0,0
31,0,2
32,0,0
33,1,0
34,0,0
35,0,2
36,0,0
37,0,2
38,0,2
39,0,0
40,0,2
41,0,0
42,0,1
43,0,0
44,1,0
45,0,1
46,0,1
47,0,0
48,1,1
49,0,0
