cell_id,red(#),green(#)
1,1,0
2,1,1
3,1,0
4,0,0
5,1,0
6,0,0
7,1,0
8,1,0
9,1,0
10,0,0
11,0,0
12,1,0
13,5,0
14,3,0
15,1,0
16,10,1
17,0,1
18,1,0
19,0,1
20,1,0
21,1,0
22,0,0
23,1,0
24,0,0
25,0,0
26,1,1
27,1,0
28,0,0
29,1,0
30,1,1
31,1,0
32,1,1
33,1,0
34,1,0
35,1,0
36,0,1
37,1,0
38,1,0
39,1,0
40,2,0
41,1,1
42,0,0
43,0,0
44,1,0
45,2,0
46,1,1
47,2,0
48,0,1
49,1,1
50,0,0
51,1,1
52,1,1
53,0,0
54,0,0
