cell_id,red(#),green(#)
1,0,2
2,0,0
3,0,2
4,0,0
5,0,2
6,2,1
7,0,1
8,0,1
9,0,0
10,0,0
11,0,2
12,1,1
13,0,0
14,0,1
15,0,0
16,0,0
17,0,2
18,1,1
19,0,1
20,0,1
21,0,0
22,1,0
23,0,0
24,0,0
25,0,1
26,0,2
27,0,0
28,1,0
29,0,1
30,0,1
31,1,0
32,0,1
33,0,1
34,0,1
35,0,2
36,0,1
37,0,2
38,1,1
39,0,2
40,0,2
41,0,1
42,1,1
43,0,1
44,1,0
45,0,2
46,0,0
47,0,1
48,0,1
49,0,0
50,0,1
51,0,2
